Item_Number,Name,Year,Theme,Subtheme,Pieces,Minifigures,Image_URL,GBP_MSRP,USD_MSRP,CAD_MSRP,EUR_MSRP,Packaging,Availability
9843,Touch_Sensor,2006,Mindstorms,NXT,1,NA,http://images.brickset.com/sets/images/9843-1.jpg,14.99,24.99,29.99,17.99,Not_specified,Not_specified
9844,Light_Sensor,2006,Mindstorms,NXT,1,NA,http://images.brickset.com/sets/images/9844-1.jpg,14.99,24.99,29.99,17.99,Not_specified,Not_specified
9845,Sound_Sensor,2006,Mindstorms,NXT,1,NA,http://images.brickset.com/sets/images/9845-1.jpg,19.99,34.99,41.99,24.99,Not_specified,Not_specified
9846,Ultrasonic_Sensor,2006,Mindstorms,NXT,1,NA,http://images.brickset.com/sets/images/9846-1.jpg,24.99,39.99,47.99,34.99,Not_specified,Not_specified
9847,Bluetooth_Dongle,2006,Mindstorms,NXT,1,NA,http://images.brickset.com/sets/images/9847-1.jpg,28.99,32.5,37.99,31.99,Not_specified,Not_specified
BAG14,Bag_of_Bricks,2006,Quatro,,15,NA,http://images.brickset.com/sets/images/BAG14-1.jpg,NA,7.99,NA,NA,Not_specified,Not_specified
BAG2,1x1_Stud_Light_Grey,2006,Bulk_Bricks,,90,NA,http://images.brickset.com/sets/images/BAG2-1.jpg,NA,2.99,NA,NA,Polybag,LEGO_exclusive
BAG3,1x1_Stud_Medium_Grey,2006,Bulk_Bricks,,90,NA,http://images.brickset.com/sets/images/BAG3-1.jpg,NA,2.99,NA,NA,Polybag,LEGO_exclusive
BAG4,1x1_Stud_Dark_Grey,2006,Bulk_Bricks,,90,NA,http://images.brickset.com/sets/images/BAG4-1.jpg,NA,2.99,NA,NA,Polybag,LEGO_exclusive
MS1034,Compass_Sensor_for_Mindstorms_NXT,2006,Mindstorms,NXT,1,NA,http://images.brickset.com/sets/images/MS1034-1.jpg,36.99,54.99,69.99,NA,Not_specified,Not_specified
10133,Burlington_Northern_Santa_Fe_(BNSF)_Locomotive,2005,Trains,9_V,407,2,http://images.brickset.com/sets/images/10133-1.jpg,24.99,40,NA,NA,Box,LEGO_exclusive
10143,Death_Star_II,2005,Star_Wars,Ultimate_Collector_Series,3441,NA,http://images.brickset.com/sets/images/10143-1.jpg,249.99,269.99,NA,NA,Box,Retail_-_limited
10144,Sandcrawler,2005,Star_Wars,Episode_IV-VI,1669,11,http://images.brickset.com/sets/images/10144-1.jpg,107.65,139.99,NA,NA,Box,Retail
10168,Mrs._Bunny,2005,Seasonal,Easter,61,NA,http://images.brickset.com/sets/images/10168-1.jpg,2.16,3.99,NA,NA,Polybag,LEGO_exclusive
10169,Chicken_&_Chicks,2005,Seasonal,Easter,57,NA,http://images.brickset.com/sets/images/10169-1.jpg,2.16,3.99,NA,NA,Polybag,LEGO_exclusive
10170,TTX_Intermodal_Double-Stack_Car,2005,Trains,9_V,366,NA,http://images.brickset.com/sets/images/10170-1.jpg,NA,40,NA,NA,Box,LEGO_exclusive
10203,Voporak,2005,Bionicle,Warriors,647,NA,http://images.brickset.com/sets/images/10203-1.jpg,29.99,50,NA,NA,Not_specified,Not_specified
1270,Trial_Size_Bag_(Chromika_Promotion),2005,Creator,,16,NA,http://images.brickset.com/sets/images/1270-2.jpg,0,NA,NA,NA,Polybag,Promotional
3292,Dizzy's_Bridge_Set,2005,Duplo,Bob_the_Builder,20,1,http://images.brickset.com/sets/images/3292-1.jpg,4.99,NA,NA,NA,Not_specified,Not_specified
3293,Benny's_Dig_Set,2005,Duplo,Bob_the_Builder,19,NA,http://images.brickset.com/sets/images/3293-1.jpg,7.99,10,NA,NA,Not_specified,Not_specified
3294,Muck's_Recycling_Set,2005,Duplo,Bob_the_Builder,33,1,http://images.brickset.com/sets/images/3294-1.jpg,12.99,15,NA,NA,Not_specified,Not_specified
3295,Roley's_Road_Set,2005,Duplo,Bob_the_Builder,26,1,http://images.brickset.com/sets/images/3295-1.jpg,12.99,15,NA,NA,Not_specified,Not_specified
3296,Travis_and_the_Mobile_Caravan,2005,Duplo,Bob_the_Builder,24,1,http://images.brickset.com/sets/images/3296-1.jpg,17.99,20,NA,NA,Not_specified,Not_specified
3297,Scoop_and_Lofty_at_the_Building_Yard,2005,Duplo,Bob_the_Builder,59,1,http://images.brickset.com/sets/images/3297-1.jpg,29.99,29.99,NA,NA,Not_specified,Not_specified
3600,Build_Your_Own_House,2005,Make_and_Create,,1200,NA,http://images.brickset.com/sets/images/3600-2.jpg,19.99,NA,NA,NA,Not_specified,Not_specified
3770,My_First_Train,2005,Duplo,Trains,12,1,http://images.brickset.com/sets/images/3770-1.jpg,7.99,9.99,NA,NA,Not_specified,Not_specified
3771,Train_Starter_Set,2005,Duplo,Trains,65,2,http://images.brickset.com/sets/images/3771-1.jpg,34.99,49.99,NA,NA,Not_specified,Not_specified
3772,Deluxe_Train_Set,2005,Duplo,Trains,110,3,http://images.brickset.com/sets/images/3772-1.jpg,59.99,89.99,NA,NA,Not_specified,Not_specified
3773,Level_Crossing,2005,Duplo,Trains,14,NA,http://images.brickset.com/sets/images/3773-1.jpg,6.99,7.99,NA,NA,Not_specified,Not_specified
3774,Bridge,2005,Duplo,Trains,26,NA,http://images.brickset.com/sets/images/3774-1.jpg,20.99,19.99,NA,29.99,Not_specified,Not_specified
3775,Points,2005,Duplo,Trains,2,NA,http://images.brickset.com/sets/images/3775-1.jpg,9.49,6.99,9.99,12.99,Not_specified,Not_specified
3778,Station,2005,Duplo,Trains,46,2,http://images.brickset.com/sets/images/3778-1.jpg,19.99,20,NA,NA,Not_specified,Not_specified
4085,50th_Anniversary_Bucket,2005,Duplo,,90,NA,http://images.brickset.com/sets/images/4085-2.jpg,14.99,NA,NA,NA,Not_specified,Not_specified
4103,Fun_with_Bricks,2005,Make_and_Create,,200,1,http://images.brickset.com/sets/images/4103-2.jpg,9.99,NA,NA,NA,Not_specified,Not_specified
4105,50th_Anniversary_Bucket,2005,Make_and_Create,,500,NA,http://images.brickset.com/sets/images/4105-2.jpg,9.99,10,NA,NA,Not_specified,Not_specified
4337,Dragon_Pod_,2005,Creator,X-Pod,52,NA,http://images.brickset.com/sets/images/4337-1.jpg,NA,3.5,NA,NA,Canister,Retail
4338,Monster_Pod_,2005,Creator,X-Pod,49,NA,http://images.brickset.com/sets/images/4338-1.jpg,NA,3.5,NA,NA,Canister,Retail
4339,Aqua_Pod_,2005,Creator,X-Pod,56,NA,http://images.brickset.com/sets/images/4339-1.jpg,NA,3.5,NA,NA,Canister,Retail
4413,Arachno_Pod_,2005,Creator,X-Pod,57,NA,http://images.brickset.com/sets/images/4413-1.jpg,NA,3.5,NA,NA,Canister,Retail
4421,Big_LEGO_Box_1000,2005,Creator,,1000,NA,http://images.brickset.com/sets/images/4421-1.jpg,12.99,NA,NA,NA,Box,Retail
4422,Handy_Box,2005,Duplo,,120,NA,http://images.brickset.com/sets/images/4422-1.jpg,9.99,15,NA,NA,Not_specified,Not_specified
4423,Handy_Box,2005,Creator,,800,NA,http://images.brickset.com/sets/images/4423-1.jpg,12.99,15,NA,NA,Box,Retail
4496,50th_Anniversary_Tub,2005,Creator,,1000,NA,http://images.brickset.com/sets/images/4496-2.jpg,19.99,20,NA,NA,Tub,Retail_-_limited
4658,Farm_Animals,2005,Duplo,LEGO_Ville,5,NA,http://images.brickset.com/sets/images/4658-1.jpg,1.99,NA,NA,NA,Not_specified,Not_specified
4659,Garbage_Truck,2005,Duplo,LEGO_Ville,12,1,http://images.brickset.com/sets/images/4659-1.jpg,7.99,12.99,NA,NA,Not_specified,Not_specified
4661,Construction_Worker,2005,Duplo,LEGO_Ville,4,1,http://images.brickset.com/sets/images/4661-1.jpg,3.99,5,NA,NA,Not_specified,Not_specified
4662,Post_Office,2005,Duplo,LEGO_Ville,21,1,http://images.brickset.com/sets/images/4662-1.jpg,12.99,10,NA,NA,Not_specified,Not_specified
4663,Zoo,2005,Duplo,LEGO_Ville,48,2,http://images.brickset.com/sets/images/4663-1.jpg,19.99,20,NA,NA,Not_specified,Not_specified
4664,Fire_Station,2005,Duplo,LEGO_Ville,56,3,http://images.brickset.com/sets/images/4664-1.jpg,29.99,30,NA,NA,Not_specified,Not_specified
4665,Big_Farm,2005,Duplo,LEGO_Ville,70,3,http://images.brickset.com/sets/images/4665-1.jpg,51.85,59.99,NA,NA,Not_specified,Not_specified
4679,LEGO_Strata_Blue,2005,Make_and_Create,,1500,NA,http://images.brickset.com/sets/images/4679-1.jpg,NA,20,NA,NA,Not_specified,Not_specified
4762,Rescue_from_the_Merpeople,2005,Harry_Potter,Goblet_of_Fire,175,5,http://images.brickset.com/sets/images/4762-1.jpg,14.99,20,NA,NA,Box,Retail
4766,Graveyard_Duel,2005,Harry_Potter,Goblet_of_Fire,548,8,http://images.brickset.com/sets/images/4766-1.jpg,29.99,30,NA,NA,Box,Retail
4767,Harry_and_the_Hungarian_Horntail,2005,Harry_Potter,Goblet_of_Fire,265,3,http://images.brickset.com/sets/images/4767-1.jpg,29.99,30,NA,NA,Box,Retail
4768,The_Durmstrang_Ship,2005,Harry_Potter,Goblet_of_Fire,550,2,http://images.brickset.com/sets/images/4768-1.jpg,39.99,50,NA,NA,Box,Retail
4770,Blizzard_Blaster,2005,Alpha_Team,Mission_Deep_Freeze,303,2,http://images.brickset.com/sets/images/4770-1.jpg,NA,30,NA,NA,Box,Retail
4774,Scorpion_Orb_Launcher,2005,Alpha_Team,Mission_Deep_Freeze,227,2,http://images.brickset.com/sets/images/4774-1.jpg,NA,20,NA,NA,Box,Retail
4779,Defence_Tower,2005,Duplo,Castle,64,2,http://images.brickset.com/sets/images/4779-1.jpg,19.99,24.99,NA,NA,Not_specified,Not_specified
